PubmedID,Title,Publication Date,Non-academic Author(s),Company Affiliation(s),Corresponding Author Email
40620486,Advances in Cellular Immune Theranostic Approaches for Glioblastoma: Current Trends and Future Directions.,2025,,"Department of Laboratory Medicine, Guangdong Provincial Key Laboratory of Precision Medical Diagnostics, Guangdong Provincial Key Laboratory of Single-cell and Extracellular Vesicles Guangdong Engineering and Technology Research Center for Rapid Diagnostic Biosensors, Nanfang Hospital Southern Medical University Guangdong Guangzhou China.; Department of Laboratory Medicine, Guangdong Provincial Key Laboratory of Precision Medical Diagnostics, Guangdong Provincial Key Laboratory of Single-cell and Extracellular Vesicles Guangdong Engineering and Technology Research Center for Rapid Diagnostic Biosensors, Nanfang Hospital Southern Medical University Guangdong Guangzhou China.; Department of Laboratory Medicine, Guangdong Provincial Key Laboratory of Precision Medical Diagnostics, Guangdong Provincial Key Laboratory of Single-cell and Extracellular Vesicles Guangdong Engineering and Technology Research Center for Rapid Diagnostic Biosensors, Nanfang Hospital Southern Medical University Guangdong Guangzhou China.; Department of Laboratory Medicine, Guangdong Provincial Key Laboratory of Precision Medical Diagnostics, Guangdong Provincial Key Laboratory of Single-cell and Extracellular Vesicles Guangdong Engineering and Technology Research Center for Rapid Diagnostic Biosensors, Nanfang Hospital Southern Medical University Guangdong Guangzhou China.; Department of Laboratory Medicine, Guangdong Provincial Key Laboratory of Precision Medical Diagnostics, Guangdong Provincial Key Laboratory of Single-cell and Extracellular Vesicles Guangdong Engineering and Technology Research Center for Rapid Diagnostic Biosensors, Nanfang Hospital Southern Medical University Guangdong Guangzhou China.; Department of Laboratory Medicine, Guangdong Provincial Key Laboratory of Precision Medical Diagnostics, Guangdong Provincial Key Laboratory of Single-cell and Extracellular Vesicles Guangdong Engineering and Technology Research Center for Rapid Diagnostic Biosensors, Nanfang Hospital Southern Medical University Guangdong Guangzhou China.; Department of Laboratory Medicine, Guangdong Provincial Key Laboratory of Precision Medical Diagnostics, Guangdong Provincial Key Laboratory of Single-cell and Extracellular Vesicles Guangdong Engineering and Technology Research Center for Rapid Diagnostic Biosensors, Nanfang Hospital Southern Medical University Guangdong Guangzhou China.; Department of Laboratory Medicine, Guangdong Provincial Key Laboratory of Precision Medical Diagnostics, Guangdong Provincial Key Laboratory of Single-cell and Extracellular Vesicles Guangdong Engineering and Technology Research Center for Rapid Diagnostic Biosensors, Nanfang Hospital Southern Medical University Guangdong Guangzhou China.; Department of Laboratory Medicine, Guangdong Provincial Key Laboratory of Precision Medical Diagnostics, Guangdong Provincial Key Laboratory of Single-cell and Extracellular Vesicles Guangdong Engineering and Technology Research Center for Rapid Diagnostic Biosensors, Nanfang Hospital Southern Medical University Guangdong Guangzhou China.; Department of Laboratory Medicine, Guangdong Provincial Key Laboratory of Precision Medical Diagnostics, Guangdong Provincial Key Laboratory of Single-cell and Extracellular Vesicles Guangdong Engineering and Technology Research Center for Rapid Diagnostic Biosensors, Nanfang Hospital Southern Medical University Guangdong Guangzhou China.; Department of Laboratory Medicine, Guangdong Provincial Key Laboratory of Precision Medical Diagnostics, Guangdong Provincial Key Laboratory of Single-cell and Extracellular Vesicles Guangdong Engineering and Technology Research Center for Rapid Diagnostic Biosensors, Nanfang Hospital Southern Medical University Guangdong Guangzhou China.; Department of Laboratory Medicine, Guangdong Provincial Key Laboratory of Precision Medical Diagnostics, Guangdong Provincial Key Laboratory of Single-cell and Extracellular Vesicles Guangdong Engineering and Technology Research Center for Rapid Diagnostic Biosensors, Nanfang Hospital Southern Medical University Guangdong Guangzhou China.; Department of Laboratory Medicine, Guangdong Provincial Key Laboratory of Precision Medical Diagnostics, Guangdong Provincial Key Laboratory of Single-cell and Extracellular Vesicles Guangdong Engineering and Technology Research Center for Rapid Diagnostic Biosensors, Nanfang Hospital Southern Medical University Guangdong Guangzhou China.; Department of Laboratory Medicine, Guangdong Provincial Key Laboratory of Precision Medical Diagnostics, Guangdong Provincial Key Laboratory of Single-cell and Extracellular Vesicles Guangdong Engineering and Technology Research Center for Rapid Diagnostic Biosensors, Nanfang Hospital Southern Medical University Guangdong Guangzhou China.",N/A
40619783,Human papillomavirus vaccine: Success and challenges.,2025,,,N/A
40619749,JCMM Annual Review on Advances in Biotechnology for the Treatment of Haematological Malignancies: A Review of the Latest In-Patient Developments 2024-2025.,2025,Vainchenker,,N/A
40619603,Optogenetic-Controlled iPSC-Based Vaccines for Prophylactic and Therapeutic Tumor Suppression in Mice.,2025,Li; Zhao,"Department of Breast Surgery, Tongji Hospital, School of Medicine, Tongji University, Xincun Road 389, Shanghai, 200065, China.; Department of Breast Surgery, Tongji Hospital, School of Medicine, Tongji University, Xincun Road 389, Shanghai, 200065, China.",N/A
40619274,From Bench to Bedside in Emerging Therapies for Gynecological Malignancies: A Narrative Review.,2025,Sarker,,N/A
40619130,[Expert consensus on immunoprophylaxis of cervical cancer and other human papillomavirus- related diseases (2025 edition)].,2025,,,N/A
40619123,Recent research progress and clinical status of immunotherapy for colorectal cancer.,2025,,,N/A
40618773,Evidence required to evaluate the use of bacteriologically confirmed asymptomatic tuberculosis disease as a primary endpoint in prevention of tuberculosis disease vaccine licensure trials.,2025,Fiore-Gartland; Hadinegoro; Pelzer; Schrager; Tufet,,N/A
40618210,The role of Uro-Vaxom in reducing infectious adverse effects and improving outcomes in bacillus Calmette-Guérin therapy for non-muscle-invasive bladder cancer.,2025,,,N/A
40618204,Predictive value of tumor invasion patterns on intravesical bacillus Calmette-Guérin response for stage T1 high-grade non-muscle-invasive bladder cancer.,2025,,,N/A
40617911,Metabolite derived from green tea polyphenol increases and activates plasmacytoid dendritic cells.,2025,Tomioka; Suzuki; Tanaka,"Division of Applied Biological Chemistry, Department of Bioscience and Biotechnology, Faculty of Agriculture, Kyushu University, 744 Motooka, Nishi-ku, Fukuoka, 819-0395, Japan.; Division of Applied Biological Chemistry, Department of Bioscience and Biotechnology, Faculty of Agriculture, Kyushu University, 744 Motooka, Nishi-ku, Fukuoka, 819-0395, Japan.; Division of Applied Biological Chemistry, Department of Bioscience and Biotechnology, Faculty of Agriculture, Kyushu University, 744 Motooka, Nishi-ku, Fukuoka, 819-0395, Japan.; Division of Applied Biological Chemistry, Department of Bioscience and Biotechnology, Faculty of Agriculture, Kyushu University, 744 Motooka, Nishi-ku, Fukuoka, 819-0395, Japan.; Division of Applied Biological Chemistry, Department of Bioscience and Biotechnology, Faculty of Agriculture, Kyushu University, 744 Motooka, Nishi-ku, Fukuoka, 819-0395, Japan. tatibana@agr.kyushu-u.ac.jp.",N/A
40617903,Application Advances of Lentiviral Vectors: From Gene Therapy to Vaccine Development.,2025,,,N/A
40617889,Design of a novel multiepitope vaccine against glioblastoma by in silico approaches.,2025,,"Advanced Pharmaceutics and Drug Delivery Laboratory, Leslie Dan Faculty of Pharmacy, University of Toronto, Toronto, ON, M5S 3M2, Canada. s.mirzaie@utoronto.ca.; Advanced Pharmaceutics and Drug Delivery Laboratory, Leslie Dan Faculty of Pharmacy, University of Toronto, Toronto, ON, M5S 3M2, Canada.; Advanced Pharmaceutics and Drug Delivery Laboratory, Leslie Dan Faculty of Pharmacy, University of Toronto, Toronto, ON, M5S 3M2, Canada. sxy.wu@utoronto.ca.",N/A
40617260,"Meeting Report: 38th International Conference on Antiviral Research in Las Vegas, United States of America, March 17-21, 2025.",2025,Jordan; Spengler; Welch; Durantel,"Division of the Laboratory of Biochemical Pharmacology, Department of Pediatrics, Emory University School of Medicine, Children's Healthcare of Atlanta, Atlanta, GA, USA.; Baruch S. Blumberg Institute, Doylestown, PA, USA; School of Pharmacy, University of Michigan, Ann Arbor, MI, USA; Ernest Mario School of Pharmacy, Rutgers University, Piscataway, NJ, USA.; Laboratory of Antiviral Drug Discovery. Institute of Molecular Biology of National Academy of Sciences, 0014, Yerevan, Armenia; Denovo Sciences Inc, 0060, Yerevan, Armenia.",N/A
40616857,Microbial-induced trained immunity for cancer immunotherapy.,2025,,"Department of Internal Medicine and Radboud Center of Infectious Diseases (RCI), Radboud University Medical Center, Nijmegen, the Netherlands; Department of Medical Genetics, Iuliu Hatieganu University of Medicine and Pharmacy, Cluj-Napoca, Romania.",N/A
40616841,A rare B cell clonotype imprinted by ancestral SARS-CoV-2 develops cross-sarbecovirus neutralization in immune recalls.,2025,,,N/A
40616592,Yellow Fever Virus Induces Golgi Stress and CREB3L1 Nuclear Translocation in Human A549 Cells.,2025,Ferrer; Rozés-Salvador; Tomatis; Thomas; Aquila; Aguiar; Carrera Silva; Alvarez; Gómez,,N/A
40616589,Kaposi Sarcoma-Associated Herpesvirus Sequencing in People Living With HIV in the Southern United States Reveals Subtype Diversity and Multiple Infections.,2025,Marshall; Cornejo Castro; Labo; Liu; Miley; Moore; Goodman; Fennessey; Keele; Whitby,,N/A
40616435,Dose finding in early-phase human immunodeficiency virus type 1 prevention monoclonal antibody clinical trials.,2025,Huang; Zhang; Zhang; Mayer; Martin; Hahn; Hyrien; Gelderblom,,N/A
40615758,mRNA vaccines and SiRNAs targeting cancer immunotherapy: challenges and opportunities.,2025,,,N/A
40615714,Non-melanoma skin cancer and HPV in persons with albinism: a call for research investment.,2025,Simba; McCormack; Bilaba; Kini; Mshana; Masenga; Gliksohn; Massah; Freeland; Gheit,,N/A
40614879,"Targeting KRAS in colorectal cancer immunotherapy: rationale, challenges and future directions.",2025,,"Division of Abdominal Cancer, Department of Medical Oncology, Cancer Center and Laboratory of Molecular Targeted Therapy in Oncology, West China Hospital, Sichuan University, Chengdu, Sichuan Province 610041, China.; Department of Biotherapy, Cancer Center, State Key Laboratory of Biotherapy, West China Hospital, Sichuan University, Chengdu, Sichuan Province 610041, China.; Division of Abdominal Cancer, Department of Medical Oncology, Cancer Center and Laboratory of Molecular Targeted Therapy in Oncology, West China Hospital, Sichuan University, Chengdu, Sichuan Province 610041, China.; Division of Abdominal Cancer, Department of Medical Oncology, Cancer Center and Laboratory of Molecular Targeted Therapy in Oncology, West China Hospital, Sichuan University, Chengdu, Sichuan Province 610041, China.; Division of Abdominal Cancer, Department of Medical Oncology, Cancer Center and Laboratory of Molecular Targeted Therapy in Oncology, West China Hospital, Sichuan University, Chengdu, Sichuan Province 610041, China. Electronic address: xuhuanji1990@scu.edu.cn.; Division of Abdominal Cancer, Department of Medical Oncology, Cancer Center and Laboratory of Molecular Targeted Therapy in Oncology, West China Hospital, Sichuan University, Chengdu, Sichuan Province 610041, China. Electronic address: bifeng@scu.edu.cn.",N/A
40614747,Safety and immunogenicity of investigational tuberculosis vaccine M72/AS01,2025,,,N/A
40614401,Highly sensitive detection mRNA vaccine of lung cancer associated antigen by double Cas12a with split crRNA collaborative system.,2025,,"State Key Laboratory of Pharmaceutical Biotechnology, School of Life Sciences, Nanjing University, Nanjing, 210023, PR China.; State Key Laboratory of Pharmaceutical Biotechnology, School of Life Sciences, Nanjing University, Nanjing, 210023, PR China.; State Key Laboratory of Pharmaceutical Biotechnology, School of Life Sciences, Nanjing University, Nanjing, 210023, PR China.; State Key Laboratory of Pharmaceutical Biotechnology, School of Life Sciences, Nanjing University, Nanjing, 210023, PR China.; State Key Laboratory of Pharmaceutical Biotechnology, School of Life Sciences, Nanjing University, Nanjing, 210023, PR China.; State Key Laboratory of Pharmaceutical Biotechnology, School of Life Sciences, Nanjing University, Nanjing, 210023, PR China. Electronic address: xiangy@nju.edu.cn.",N/A
40614334,Integrating behavioural theories to advance cervical cancer prevention: insights from Chinese young women.,2025,Zhu,"Qingdao Simul International Cultural and Sports Co. Ltd., 26 Xianggang Middle Rd, Qingdao, Shandong 266071, China.",N/A
40613099,"COVID-19 knowledge, attitudes and practices in Thabo Mofutsanyana District, South Africa, 2022.",2025,Atuheire; Ebonwu,,N/A
40612958,Correction: Tubeimuside I improves the efficacy of a therapeutic ,2025,,"Department of Microbiology and Biochemical Pharmacy, National Engineering Research Center of Immunological Products, College of Pharmacy, Third Military Medical University, Chongqing, China.",N/A
40612941,PLK1 in cancer therapy: a comprehensive review of immunomodulatory mechanisms and therapeutic opportunities.,2025,,"Department of Oncology, Shandong Provincial Hospital Affiliated to Shandong First Medical University, Jinan, Shandong, China.; Department of Oncology, Shandong Provincial Hospital Affiliated to Shandong First Medical University, Jinan, Shandong, China.; Department of Clinical Laboratory, Shandong Provincial Hospital Affiliated to Shandong First Medical University, Jinan, Shandong, China.; Department of Oncology, Shandong Provincial Hospital Affiliated to Shandong First Medical University, Jinan, Shandong, China.",N/A
40612710,Immunogenicity and innate immunity to high-dose and repeated vaccination of modified mRNA versus unmodified mRNA.,2025,,,N/A
40611644,Education and social determinants shaping HPV vaccine uptake: Insights from a nationwide cross-sectional study.,2025,Marques Fidalgo,,N/A
40611134,Differential effects of young and old hematopoietic stem cell niches on bone marrow-derived dendritic cells.,2025,,,N/A
40611132,Role of senescent CD4,2025,,,N/A
40610960,"Factors associated with parental acceptance of the HPV vaccine in girls from metropolitan Lima, Peru.",2025,Juárez-Leon; Calderón-Solano; Poterico; Ybaseta-Medina; Azañedo; Torres-Román,,N/A
40610947,Comparative effectiveness and immunogenicity of single-dose and multi-dose human papillomavirus vaccination: a systematic review.,2025,,,N/A
40610739,miRNA-29b-1-5p mediates an antiviral activity by targeting the HBV entry receptor in human hepatocytes.,2025,Gailhouste; Furutani; Qin; Higuchi; Toguchi; Yanaka; Kojima,,N/A
40610636,Impaired autophagy by cepharanthine induces immunogenic cell death and enhances anti-PD-1 response in MSS-type colorectal cancer.,2025,Zhao; Xu,"Collaborative Innovation Centre of Regenerative Medicine and Medical BioResource Development and Application Co-constructed by the Province and Ministry, Guangxi Medical University, Nanning, Guangxi, PR China.",N/A
40609683,Predictors of HPV vaccine intention in non-monogamous adults.,2025,,Western New England University College of Pharmacy and Health Sciences.; Western New England University College of Pharmacy and Health Sciences. Electronic address: natalia.shcherbakova@wne.edu.; Western New England University College of Pharmacy and Health Sciences.; Western New England University College of Pharmacy and Health Sciences.; Western New England University College of Pharmacy and Health Sciences.,N/A
40609265,"Design of a multicenter, randomized, double-blinded, placebo-controlled phase III trial evaluating the 9-valent human papillomavirus (HPV) vaccine to prevent persistent oral HPV infection in men living with human immunodeficiency virus: ULACNet trial 201.",2025,Villa; Galan de Paula; Carvalho da Silva; Ellsworth,,N/A
40608698,"Hepatitis B (HBsAg) prevalence among obstetric patients in Caluquembe, Angola, 2023-2024.",2025,,,N/A
40607976,Reimagining drug nanocarriers: clinical realities and smarter strategies for targeted drug delivery.,2025,,"Department of Chemical Engineering and Biotechnology, University of Cambridge, Philippa Fawcett Drive, Cambridge, CB3 0AS, UK. agb59@cam.ac.uk.; Department of Chemical Engineering and Biotechnology, University of Cambridge, Philippa Fawcett Drive, Cambridge, CB3 0AS, UK. agb59@cam.ac.uk.",N/A
40607842,Productivity loss associated with premature mortality due to human papillomavirus-related cancers in Poland.,2025,Jaworski; Wójcik; Sabale,"Pharmacoeconomic Department, Institute of Mother and Child, Warsaw, Poland.",N/A
40607811,RSV F evolution escapes some monoclonal antibodies but does not strongly erode neutralization by human polyclonal sera.,2025,Simonich; McMahon; Ju; Yu; Stevens-Ayers; Boeckh; Greninger; Bloom,,N/A
40606990,Cardiovascular adverse effects of immunotherapy in cancer: insights and implications.,2025,,,N/A
40605619,Single-cell transcriptomics reveals depletion and dysregulation of Mycobacterium tuberculosis-specific Th1 and Th17 cells early after acquisition of HIV.,2025,Mandaliya; Overbaugh,,N/A
40605273,Computational methods and data resources for predicting tumor neoantigens.,2025,,,N/A
40604454,Co-designing a shared digital decision aid for HPV vaccination in French general practice.,2025,Hagiu; Tron; Zuo; Ecollan; Pinot; Partouche; Gilberg; Le Bel; Rossignol; Gagneux-Brunon; Michel; Mueller; Thilly; Bruel,,N/A
40604087,Mucin-1: a promising pan-cancer therapeutic target.,2025,,,N/A
40603473,"High resolution class I HLA-A, -B, and -C diversity in Eastern and Southern African populations.",2025,Hyrien,,N/A
40603286,Humoral vaccine responses following Chimeric Antigen Receptor T-cell therapy for hematological malignancies.,2025,Einarsdottir; Lobaugh; Luan; Gomez-Llobell; Subramanian; Devlin; Chung; Dahi; Falchi; Giralt; Landau; Lesokhin; Lin; Lue; Mailankody; Palomba; Park; Salles; Scordo; Escribano-Serrat; Sanz; Rejeski; Shouval; Usmani; Perales; Shah; Shahid,,N/A
40602407,Overcoming multidrug resistance in gastrointestinal cancers with a CDH17-targeted ADC conjugated to a DNA topoisomerase inhibitor.,2025,Wang; Fang; Ji; Yu; Mei; Wang; Zhou; Peng; Wang; Wang; Guo; Wu; Tan; Gui,"Mabwell (Shanghai) Bioscience Co., Ltd., Shanghai 201210, China.; Mabwell (Shanghai) Bioscience Co., Ltd., Shanghai 201210, China.; Mabwell (Shanghai) Bioscience Co., Ltd., Shanghai 201210, China; National Engineering Laboratory for AIDS Vaccine, School of Life Sciences, Jilin University, Changchun 130012, China.; Mabwell (Shanghai) Bioscience Co., Ltd., Shanghai 201210, China.; Mabwell (Shanghai) Bioscience Co., Ltd., Shanghai 201210, China; Jiangsu Mabwell Health Pharmaceutical R&D Co., Ltd., Taizhou 225300, China.; Mabwell (Shanghai) Bioscience Co., Ltd., Shanghai 201210, China; Jiangsu Mabwell Health Pharmaceutical R&D Co., Ltd., Taizhou 225300, China.; Mabwell (Shanghai) Bioscience Co., Ltd., Shanghai 201210, China.; Mabwell (Shanghai) Bioscience Co., Ltd., Shanghai 201210, China.; Mabwell (Shanghai) Bioscience Co., Ltd., Shanghai 201210, China.; Mabwell (Shanghai) Bioscience Co., Ltd., Shanghai 201210, China; Beijing Kohnoor Science & Technology Co., Ltd., Beijing 102206, China.; Mabwell (Shanghai) Bioscience Co., Ltd., Shanghai 201210, China.; Mabwell (Shanghai) Bioscience Co., Ltd., Shanghai 201210, China.; Mabwell (Shanghai) Bioscience Co., Ltd., Shanghai 201210, China.; Mabwell (Shanghai) Bioscience Co., Ltd., Shanghai 201210, China; National Engineering Laboratory for AIDS Vaccine, School of Life Sciences, Jilin University, Changchun 130012, China. Electronic address: datao.liu@mabwell.com.; Mabwell (Shanghai) Bioscience Co., Ltd., Shanghai 201210, China; Jiangsu Mabwell Health Pharmaceutical R&D Co., Ltd., Taizhou 225300, China. Electronic address: xiaoding.tan@mabwell.com.; Mabwell (Shanghai) Bioscience Co., Ltd., Shanghai 201210, China. Electronic address: xun.gui@mabwell.com.",N/A
40602349,Accomplishments and challenges in developing improved influenza vaccines: An evaluation of three years of progress toward the milestones of the influenza vaccines research and development roadmap.,2025,Ostrowsky; Vestin; Mehr; Ulrich; Bigalke; Bresee; Friede; Klugman; Nakakana; Wang; Weller; Osterholm; Lackritz; Moore,,N/A
40602346,Pseudomonas aeruginosa vaccine identified by the AI-immunology™ platform improves outcomes in a murine biofilm lung infection model.,2025,Mattsson; Comstedt,"Evaxion Biotech, Dr Neergaards vej 5F, 2970 Hørsholm, Denmark.; Evaxion Biotech, Dr Neergaards vej 5F, 2970 Hørsholm, Denmark.",N/A
40601881,Assessment of Functional Status of Human Leukocyte Antigen Class I Genes in Cancer Tissues in the Context of Personalized Neoantigen Peptide Vaccine Immunotherapy.,2025,Padul; Biswas; Gill; Perez; Lopez; Ashili,,N/A
40601777,Modeling lesion transition dynamics to clinically characterize patients with clade I mpox in the Democratic Republic of the Congo.,2025,Ishikane; Iwamoto; Suzuki; Sakurai; Ohmagari; Kingebeni,,N/A
40601111,The behavioral and social drivers of HPV vaccination among parents and young people in Indonesia: a scoping review.,2025,,,N/A
40600891,Harnessing Notch Signaling to Enhance the Generation and Functionality of Human Conventional Type I Dendritic Cells for Cancer Immunotherapy Applications.,2025,,,N/A
40600710,Influenza-Specific T-Cell Responses to Vaccination Are Independent of Underlying Hematological Malignancy: Analysis of a Randomized Influenza Vaccination Trial.,2025,Lim; Klimevski; Tennakoon; Saunders; Trubiano,,N/A
40600480,Strategies for implementing long-acting cabotegravir for PrEP in US clinics serving Black women: interim healthcare provider findings from the EBONI study.,2025,Nelson; Evans Cooper; Lawson; Mocherla; Dyson; Sutherland-Philips; Swygard; Petty; Jeffery; Sutton; Bonner; Andrews; Chang; Budnik; Smith; de Ruiter; Czarnogorski; Pilgrim,,N/A
40600436,IgG and IgM Seroreactivity Against Natural HPV16 Infection and HLA-DRB1 and -DQB1 Polymorphism.,2025,Gonçalves; Villa; de Araujo-Souza,,N/A
40600411,Distribution of Human Papillomavirus Genotypes in Real-World Cervical Self-Collected Scrapings From the Dutch Cervical Cancer Screening Program.,2025,Vuijk,,N/A
40600163,Barriers to vaccine acceptance and immunization coverage in Kazakhstan: a mixed-methods study using the COM-B framework.,2025,Kassabekova; Smagul; Nukenova; Satayeva; Aubakirova; Yesmagambetova,,N/A
40599850,Design and immunogenic evaluation of multi-epitope vaccines for colorectal cancer: insights from molecular dynamics and ,2025,,,N/A
40599446,Comprehensive Analysis of ,2024,,"Pharmacist, Shiraz University of Medical Sciences, Shiraz, Iran.",N/A
40599251,"COVID-19 related symptoms and the second infection status of SARS-CoV-2 in patients with lung cancer: A single-center, six-month longitudinal observational study.",2025,,"Clinical Pharmacology Research Center, Peking Union Medical College Hospital, State Key Laboratory of Complex Severe and Rare Diseases, NMPA Key Laboratory for Clinical Research and Evaluation of Drug, Beijing Key Laboratory of Clinical PK & PD Investigation for Innovative Drugs, Chinese Academy of Medical Sciences & Peking Union Medical College, Beijing, China.; Clinical Pharmacology Research Center, Peking Union Medical College Hospital, State Key Laboratory of Complex Severe and Rare Diseases, NMPA Key Laboratory for Clinical Research and Evaluation of Drug, Beijing Key Laboratory of Clinical PK & PD Investigation for Innovative Drugs, Chinese Academy of Medical Sciences & Peking Union Medical College, Beijing, China.; Clinical Pharmacology Research Center, Peking Union Medical College Hospital, State Key Laboratory of Complex Severe and Rare Diseases, NMPA Key Laboratory for Clinical Research and Evaluation of Drug, Beijing Key Laboratory of Clinical PK & PD Investigation for Innovative Drugs, Chinese Academy of Medical Sciences & Peking Union Medical College, Beijing, China.",N/A
40598755,The science at HIVR4P 2024: The era of choice in biomedical HIV prevention.,2025,Grinsztejn; Appay; Bekker; Donnell; Sanchez; Canagasabey; Coutinho; Ganor; Muturi-Kioi; Ortblad; Devisich; Ghiglione; K'Orimba; Muthui; Sendaula; Tirmizi; Sanchez; Pebody,"Antibody Translational Research Program, Translational Health Science and Technology Institute, Virus Research, Therapeutics and Vaccines, Faridabad, India.",N/A
40598490,t-RNA mediates provirus deletion in HIV-infected cells.,2025,,,N/A
40597861,Efficacy of vaccination therapy in newly diagnosed and recurrent glioblastoma patients: a meta-analysis.,2025,Karabinos; Gousias,,N/A
40597707,A scoping review of human papillomavirus related data system in China.,2025,Wang; Zhang; Chen; Wang,"Value & Implementation Outcome Research Merck & Co., Inc, 126 East Lincoln Avenue, P.O. Box 2000, Rahway, NJ, 07065, USA.; MSD R&D (China) Co., Ltd, Beijing, 110105, China.; Value & Implementation Outcome Research Merck & Co., Inc, 126 East Lincoln Avenue, P.O. Box 2000, Rahway, NJ, 07065, USA.; Value & Implementation Outcome Research Merck & Co., Inc, 126 East Lincoln Avenue, P.O. Box 2000, Rahway, NJ, 07065, USA. wei.wang40@merck.com.",N/A
40596971,Ex vivo engineering of phagocytic signals in breast cancer cells for a whole tumor cell-based vaccine.,2025,,,N/A
40596331,Engineering M13 bacteriophage to display HER2 mimotopes on pVIII for vaccine development.,2025,,"Department of Medical Biotechnology, School of Medicine, Kermanshah University of Medical Sciences, Kermanshah, Iran.; Department of Medical Biotechnology, School of Medicine, Kermanshah University of Medical Sciences, Kermanshah, Iran.; Venom and Biotherapeutics Molecules Laboratory, Medical Biotechnology Department, Biotechnology Research Center, Pasteur Institute of Iran, Tehran, Iran.; Department of Medical Biotechnology, School of Medicine, Kermanshah University of Medical Sciences, Kermanshah, Iran. sara3ms@yahoo.com.",N/A
40595741,ADTnorm: robust integration of single-cell protein measurement across CITE-seq datasets.,2025,Kim; Jun; Tian; Mair; Gottardo,,N/A
